direction,combo,noise_k,vol_mult,window,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
LONG,macd_x_up+rsi_thrust_up,0.0,0.8,full_0930_1400,8,0.14,3,3,2,37.5,50.0,1.07,0.06,0.84,73.1
LONG,macd_x_up_neg+hist_turn_up,0.0,0.8,full_0930_1400,5,0.09,1,3,1,20.0,25.0,0.31,-0.66,0.66,75.0
LONG,macd_x_up_neg+strong_close,0.0,0.8,full_0930_1400,26,0.46,6,17,3,23.1,26.1,0.37,-3.25,3.29,75.8
LONG,macd_x_up_neg+orb_break_up,0.0,0.8,full_0930_1400,1,0.02,1,0,0,100.0,100.0,inf,0.3,0.0,15.0
LONG,macd_x_up_neg+orb_break_up_v,0.0,0.8,full_0930_1400,1,0.02,1,0,0,100.0,100.0,inf,0.3,0.0,15.0
LONG,macd_x_up_neg+vwap_reclaim_v,0.0,0.8,full_0930_1400,3,0.05,1,1,1,33.3,50.0,0.96,-0.01,0.31,48.3
LONG,macd_x_up_neg+rvol_thrust_up,0.0,0.8,full_0930_1400,3,0.05,2,1,0,66.7,66.7,2.0,0.3,0.3,58.3
LONG,macd_x_up_neg+above_vwap_v,0.0,0.8,full_0930_1400,4,0.07,2,1,1,50.0,66.7,1.93,0.29,0.31,66.2
LONG,macd_x_up_neg+vwap_lo_bounce,0.0,0.8,full_0930_1400,11,0.19,3,7,1,27.3,30.0,0.42,-1.26,0.96,60.9
LONG,macd_x_up_neg+cvd_up,0.0,0.8,full_0930_1400,11,0.19,2,7,2,18.2,22.2,0.32,-1.44,1.74,94.1
LONG,macd_x_up_neg+cvd_up_v,0.0,0.8,full_0930_1400,5,0.09,1,2,2,20.0,33.3,0.61,-0.24,0.31,90.0
LONG,macd_x_up_neg+mom_ignite_up,0.0,0.8,full_0930_1400,2,0.04,1,1,0,50.0,50.0,1.0,0.0,0.0,75.0
LONG,macd_x_up_neg+rsi_thrust_up,0.0,0.8,full_0930_1400,4,0.07,1,1,2,25.0,50.0,1.2,0.06,0.31,86.2
LONG,hist_turn_up+strong_close,0.0,0.8,full_0930_1400,169,2.96,58,85,26,34.3,40.6,0.73,-7.34,8.97,77.7
LONG,hist_turn_up+orb_break_up,0.0,0.8,full_0930_1400,21,0.37,9,11,1,42.9,45.0,0.8,-0.67,1.87,57.9
LONG,hist_turn_up+orb_break_up_v,0.0,0.8,full_0930_1400,15,0.26,6,8,1,40.0,42.9,0.73,-0.67,0.97,61.3
LONG,hist_turn_up+vwap_reclaim_v,0.0,0.8,full_0930_1400,16,0.28,4,9,3,25.0,30.8,0.55,-1.26,1.5,83.4
LONG,hist_turn_up+rvol_thrust_up,0.0,0.8,full_0930_1400,41,0.72,13,17,11,31.7,43.3,0.91,-0.5,2.09,95.9
LONG,hist_turn_up+above_vwap_v,0.0,0.8,full_0930_1400,47,0.82,15,20,12,31.9,42.9,0.89,-0.7,2.09,96.4
LONG,hist_turn_up+vwap_lo_bounce,0.0,0.8,full_0930_1400,46,0.81,20,18,8,43.5,52.6,1.13,0.76,1.2,79.7
LONG,hist_turn_up+cvd_up,0.0,0.8,full_0930_1400,78,1.37,25,41,12,32.1,37.9,0.67,-4.21,5.39,79.5
LONG,hist_turn_up+cvd_up_v,0.0,0.8,full_0930_1400,46,0.81,11,26,9,23.9,29.7,0.51,-3.94,4.49,86.6
LONG,hist_turn_up+mom_ignite_up,0.0,0.8,full_0930_1400,3,0.05,3,0,0,100.0,100.0,inf,0.9,0.0,60.0
LONG,hist_turn_up+rsi_thrust_up,0.0,0.8,full_0930_1400,7,0.12,1,3,3,14.3,25.0,0.47,-0.56,0.68,119.3
LONG,strong_close+orb_break_up,0.0,0.8,full_0930_1400,58,1.02,25,29,4,43.1,46.3,0.9,-0.88,3.19,78.5
LONG,strong_close+orb_break_up_v,0.0,0.8,full_0930_1400,43,0.75,19,22,2,44.2,46.3,0.86,-0.94,2.4,79.7
LONG,strong_close+vwap_reclaim_v,0.0,0.8,full_0930_1400,37,0.65,13,19,5,35.1,40.6,0.78,-1.28,2.4,85.1
LONG,strong_close+rvol_thrust_up,0.0,0.8,full_0930_1400,203,3.56,80,94,29,39.4,46.0,0.91,-2.72,5.78,87.1
LONG,strong_close+above_vwap_v,0.0,0.8,full_0930_1400,222,3.89,84,106,32,37.8,44.2,0.84,-5.05,7.8,88.2
