direction,combo,noise_k,vol_mult,window,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
LONG,vwap_reclaim+above_pivot+orb_break_up,0.0,0.8,full_0930_1400,9,0.16,1,6,2,11.1,14.3,0.37,-1.14,0.93,111.7
LONG,vwap_reclaim+above_pivot+orb_break_up_v,0.0,0.8,full_0930_1400,7,0.12,1,5,1,14.3,16.7,0.26,-1.11,0.9,90.0
LONG,vwap_reclaim+above_pivot+vwap_reclaim_v,0.0,0.8,full_0930_1400,31,0.54,9,12,10,29.0,42.9,0.83,-0.67,1.15,111.8
LONG,vwap_reclaim+above_pivot+rvol_thrust_up,0.0,0.8,full_0930_1400,19,0.33,5,7,7,26.3,41.7,0.8,-0.45,1.2,118.2
LONG,vwap_reclaim+above_pivot+above_vwap_v,0.0,0.8,full_0930_1400,23,0.4,6,9,8,26.1,40.0,0.78,-0.63,0.9,109.1
LONG,vwap_reclaim+above_pivot+vwap_lo_bounce,0.0,0.8,full_0930_1400,11,0.19,3,5,3,27.3,37.5,0.46,-1.04,1.26,106.4
LONG,vwap_reclaim+above_pivot+cvd_up,0.0,0.8,full_0930_1400,46,0.81,12,18,16,26.1,40.0,0.77,-1.39,1.69,125.5
LONG,vwap_reclaim+above_pivot+cvd_up_v,0.0,0.8,full_0930_1400,26,0.46,8,9,9,30.8,47.1,0.94,-0.18,0.83,108.5
LONG,vwap_reclaim+above_pivot+mom_ignite_up,0.0,0.8,full_0930_1400,3,0.05,1,0,2,33.3,100.0,inf,0.38,0.0,143.3
LONG,vwap_reclaim+above_pivot+rsi_thrust_up,0.0,0.8,full_0930_1400,13,0.23,4,5,4,30.8,44.4,0.98,-0.03,0.6,100.4
LONG,vwap_reclaim+macd_x_up+macd_x_up_neg,0.0,0.8,full_0930_1400,4,0.07,4,0,0,100.0,100.0,inf,1.2,0.0,43.8
LONG,vwap_reclaim+macd_x_up+hist_turn_up,0.0,0.8,full_0930_1400,2,0.04,2,0,0,100.0,100.0,inf,0.6,0.0,47.5
LONG,vwap_reclaim+macd_x_up+strong_close,0.0,0.8,full_0930_1400,6,0.11,5,1,0,83.3,83.3,5.0,1.2,0.3,67.5
LONG,vwap_reclaim+macd_x_up+orb_break_up,0.0,0.8,full_0930_1400,2,0.04,1,1,0,50.0,50.0,1.0,0.0,0.3,115.0
LONG,vwap_reclaim+macd_x_up+orb_break_up_v,0.0,0.8,full_0930_1400,2,0.04,1,1,0,50.0,50.0,1.0,0.0,0.3,115.0
LONG,vwap_reclaim+macd_x_up+vwap_reclaim_v,0.0,0.8,full_0930_1400,5,0.09,4,1,0,80.0,80.0,4.0,0.9,0.3,65.0
LONG,vwap_reclaim+macd_x_up+rvol_thrust_up,0.0,0.8,full_0930_1400,3,0.05,2,1,0,66.7,66.7,2.0,0.3,0.3,98.3
LONG,vwap_reclaim+macd_x_up+above_vwap_v,0.0,0.8,full_0930_1400,3,0.05,2,1,0,66.7,66.7,2.0,0.3,0.3,98.3
LONG,vwap_reclaim+macd_x_up+vwap_lo_bounce,0.0,0.8,full_0930_1400,1,0.02,1,0,0,100.0,100.0,inf,0.3,0.0,15.0
LONG,vwap_reclaim+macd_x_up+cvd_up,0.0,0.8,full_0930_1400,5,0.09,4,1,0,80.0,80.0,4.0,0.9,0.3,65.0
LONG,vwap_reclaim+macd_x_up+cvd_up_v,0.0,0.8,full_0930_1400,5,0.09,4,1,0,80.0,80.0,4.0,0.9,0.3,65.0
LONG,vwap_reclaim+macd_x_up+mom_ignite_up,0.0,0.8,full_0930_1400,1,0.02,1,0,0,100.0,100.0,inf,0.3,0.0,15.0
LONG,vwap_reclaim+macd_x_up+rsi_thrust_up,0.0,0.8,full_0930_1400,3,0.05,2,1,0,66.7,66.7,2.0,0.3,0.3,81.7
LONG,vwap_reclaim+macd_x_up_neg+hist_turn_up,0.0,0.8,full_0930_1400,2,0.04,2,0,0,100.0,100.0,inf,0.6,0.0,47.5
LONG,vwap_reclaim+macd_x_up_neg+strong_close,0.0,0.8,full_0930_1400,4,0.07,4,0,0,100.0,100.0,inf,1.2,0.0,43.8
LONG,vwap_reclaim+macd_x_up_neg+orb_break_up,0.0,0.8,full_0930_1400,1,0.02,1,0,0,100.0,100.0,inf,0.3,0.0,15.0
LONG,vwap_reclaim+macd_x_up_neg+orb_break_up_v,0.0,0.8,full_0930_1400,1,0.02,1,0,0,100.0,100.0,inf,0.3,0.0,15.0
LONG,vwap_reclaim+macd_x_up_neg+vwap_reclaim_v,0.0,0.8,full_0930_1400,3,0.05,3,0,0,100.0,100.0,inf,0.9,0.0,31.7
LONG,vwap_reclaim+macd_x_up_neg+rvol_thrust_up,0.0,0.8,full_0930_1400,1,0.02,1,0,0,100.0,100.0,inf,0.3,0.0,65.0
LONG,vwap_reclaim+macd_x_up_neg+above_vwap_v,0.0,0.8,full_0930_1400,1,0.02,1,0,0,100.0,100.0,inf,0.3,0.0,65.0
LONG,vwap_reclaim+macd_x_up_neg+cvd_up,0.0,0.8,full_0930_1400,3,0.05,3,0,0,100.0,100.0,inf,0.9,0.0,31.7
LONG,vwap_reclaim+macd_x_up_neg+cvd_up_v,0.0,0.8,full_0930_1400,3,0.05,3,0,0,100.0,100.0,inf,0.9,0.0,31.7
LONG,vwap_reclaim+macd_x_up_neg+mom_ignite_up,0.0,0.8,full_0930_1400,1,0.02,1,0,0,100.0,100.0,inf,0.3,0.0,15.0
LONG,vwap_reclaim+macd_x_up_neg+rsi_thrust_up,0.0,0.8,full_0930_1400,1,0.02,1,0,0,100.0,100.0,inf,0.3,0.0,15.0
LONG,vwap_reclaim+hist_turn_up+strong_close,0.0,0.8,full_0930_1400,34,0.6,8,17,9,23.5,32.0,0.49,-2.97,2.78,109.4
LONG,vwap_reclaim+hist_turn_up+orb_break_up,0.0,0.8,full_0930_1400,5,0.09,1,3,1,20.0,25.0,0.63,-0.33,0.6,88.0
LONG,vwap_reclaim+hist_turn_up+orb_break_up_v,0.0,0.8,full_0930_1400,3,0.05,1,2,0,33.3,33.3,0.5,-0.3,0.3,21.7
LONG,vwap_reclaim+hist_turn_up+vwap_reclaim_v,0.0,0.8,full_0930_1400,15,0.26,4,9,2,26.7,30.8,0.42,-1.64,1.34,86.7
LONG,vwap_reclaim+hist_turn_up+rvol_thrust_up,0.0,0.8,full_0930_1400,7,0.12,1,5,1,14.3,16.7,0.2,-1.2,0.9,68.6
LONG,vwap_reclaim+hist_turn_up+above_vwap_v,0.0,0.8,full_0930_1400,9,0.16,1,7,1,11.1,12.5,0.14,-1.8,1.5,66.1
LONG,vwap_reclaim+hist_turn_up+vwap_lo_bounce,0.0,0.8,full_0930_1400,8,0.14,2,6,0,25.0,25.0,0.33,-1.2,0.9,64.4
LONG,vwap_reclaim+hist_turn_up+cvd_up,0.0,0.8,full_0930_1400,17,0.3,4,8,5,23.5,33.3,0.58,-1.09,1.31,103.8
LONG,vwap_reclaim+hist_turn_up+cvd_up_v,0.0,0.8,full_0930_1400,8,0.14,3,3,2,37.5,50.0,0.87,-0.14,0.44,78.8
LONG,vwap_reclaim+hist_turn_up+rsi_thrust_up,0.0,0.8,full_0930_1400,4,0.07,0,3,1,0.0,0.0,0.0,-0.9,0.6,63.8
LONG,vwap_reclaim+strong_close+orb_break_up,0.0,0.8,full_0930_1400,11,0.19,3,5,3,27.3,37.5,0.73,-0.46,0.6,120.0
LONG,vwap_reclaim+strong_close+orb_break_up_v,0.0,0.8,full_0930_1400,8,0.14,3,4,1,37.5,42.9,0.83,-0.21,0.3,101.9
LONG,vwap_reclaim+strong_close+vwap_reclaim_v,0.0,0.8,full_0930_1400,39,0.68,12,16,11,30.8,42.9,0.84,-0.85,1.73,112.1
LONG,vwap_reclaim+strong_close+rvol_thrust_up,0.0,0.8,full_0930_1400,29,0.51,8,12,9,27.6,40.0,0.79,-0.81,2.1,112.6
LONG,vwap_reclaim+strong_close+above_vwap_v,0.0,0.8,full_0930_1400,30,0.53,8,13,9,26.7,38.1,0.73,-1.11,2.1,112.3
LONG,vwap_reclaim+strong_close+vwap_lo_bounce,0.0,0.8,full_0930_1400,17,0.3,5,8,4,29.4,38.5,0.53,-1.34,1.26,112.9
LONG,vwap_reclaim+strong_close+cvd_up,0.0,0.8,full_0930_1400,49,0.86,14,17,18,28.6,45.2,0.88,-0.72,1.65,126.6
LONG,vwap_reclaim+strong_close+cvd_up_v,0.0,0.8,full_0930_1400,29,0.51,10,9,10,34.5,52.6,1.18,0.55,1.13,111.9
LONG,vwap_reclaim+strong_close+mom_ignite_up,0.0,0.8,full_0930_1400,3,0.05,1,0,2,33.3,100.0,inf,0.38,0.0,143.3
LONG,vwap_reclaim+strong_close+rsi_thrust_up,0.0,0.8,full_0930_1400,13,0.23,4,4,5,30.8,50.0,1.43,0.52,0.6,116.5
LONG,vwap_reclaim+orb_break_up+orb_break_up_v,0.0,0.8,full_0930_1400,9,0.16,3,5,1,33.3,37.5,0.66,-0.51,0.6,91.7
LONG,vwap_reclaim+orb_break_up+vwap_reclaim_v,0.0,0.8,full_0930_1400,9,0.16,3,5,1,33.3,37.5,0.66,-0.51,0.6,91.7
LONG,vwap_reclaim+orb_break_up+rvol_thrust_up,0.0,0.8,full_0930_1400,6,0.11,2,3,1,33.3,40.0,0.77,-0.21,0.3,120.8
LONG,vwap_reclaim+orb_break_up+above_vwap_v,0.0,0.8,full_0930_1400,7,0.12,2,4,1,28.6,33.3,0.58,-0.51,0.6,105.0
LONG,vwap_reclaim+orb_break_up+vwap_lo_bounce,0.0,0.8,full_0930_1400,3,0.05,1,2,0,33.3,33.3,0.5,-0.3,0.6,88.3
LONG,vwap_reclaim+orb_break_up+cvd_up,0.0,0.8,full_0930_1400,11,0.19,2,6,3,18.2,25.0,0.48,-1.06,0.93,104.5
LONG,vwap_reclaim+orb_break_up+cvd_up_v,0.0,0.8,full_0930_1400,8,0.14,2,5,1,25.0,28.6,0.46,-0.81,0.6,80.6
LONG,vwap_reclaim+orb_break_up+rsi_thrust_up,0.0,0.8,full_0930_1400,4,0.07,0,3,1,0.0,0.0,0.11,-0.81,0.6,111.2
LONG,vwap_reclaim+orb_break_up_v+vwap_reclaim_v,0.0,0.8,full_0930_1400,9,0.16,3,5,1,33.3,37.5,0.66,-0.51,0.6,91.7
LONG,vwap_reclaim+orb_break_up_v+rvol_thrust_up,0.0,0.8,full_0930_1400,6,0.11,2,3,1,33.3,40.0,0.77,-0.21,0.3,120.8
LONG,vwap_reclaim+orb_break_up_v+above_vwap_v,0.0,0.8,full_0930_1400,7,0.12,2,4,1,28.6,33.3,0.58,-0.51,0.6,105.0
